,0,1,2,3,4,5,6,7,8,9
10,"August 16, 2017",9/10,Flew Business,Flew from Chicago to Heathrow on 7JUL17 in business class.   This was my first flight in a 787 so was interested in how comfortable etc they are.  I found that it was noisier that a 380 but that you could feel the difference in the lower pressurisation of the 787.,Yes,width: 100%,width: 80%,width: 100%,width: 80%,width: 80%
11,"August 16, 2017",10/10,Flew Economy,"
Seat was comfortable although a bit narrow.   Cabin staff were polite and helpful and were always on hand if you wanted something to eat or drink during the night.  One critisism I have is that the champagne was in plastic flutes which appears rather cheap for business class, other airlines use glass .",Yes,width: 100%,width: 80%,width: 80%,width: 0%,width: 0%
12,"August 16, 2017",1/10,Flew Economy,"
Overall a good experience with AA which I consider one of the better USA airlines on international flights.",No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
13,"August 16, 2017",1/10,Flew First,I have flown American for over 20 ys and find it to be an exceptional airline. very professional and accomodating.Thanks Ameeican and all your staff,No,width: 60%,width: 100%,width: 60%,width: 0%,width: 80%
14,"August 16, 2017",1/10,Flew Economy,Y’all niggas be buggin how the fuck y’all got no tv no leg room no internet yo shit bummy as hell fix yo shit nigga and I lost baggage fuck y’all niggas,No,width: 20%,width: 60%,width: 20%,width: 40%,width: 60%
15,"August 16, 2017",1/10,Flew Economy,They could not find their crew for our flight. Terrible updates about why the flight was being delayed. Obviously very disorganized airline.,No,width: 20%,width: 60%,width: 20%,width: 40%,width: 60%
16,"August 16, 2017",2/10,Flew Economy,"My flight was cancelled, and the lady that helped me put me on another flight. Cool. My boyfriend decided to pick me up instead of having me take an additional flight, and when I called to get a refund for the cancelled flight I was told to go online. However, the online refund service says my flight was not cancelled. I went into AA.com and verified it was cancelled and still was unable to process a refund. FML. Not flying with y’all again. Thanks.",No,width: 60%,width: 40%,width: 80%,width: 40%,width: 60%
17,"August 16, 2017",1/10,Flew Economy,Horrible service I could not board my flight because there were no crew members to work it went from 7:45pm to now 11:30pm a very big inconvenience for myself and my trip. I would not recommend this airlines to anyone. I would like my money back in full,No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
18,"August 16, 2017",1/10,Flew Economy,"Do not book. Connection flight arrived late. Made it still with 5 mins to spare (15 total since they close the doors at 10 till). Was at the end of the line. Carlos Hernandez shut the ticket machine off and closed the door in our face. His reasoning was they already sold our seats. Which is theft since we were there on time. The flight clearly overbooked the plane (which has happened to me personally MULTIPLE times with American Airlines).  Given standby tickets for the next flight, which he didnt mention they were standby. He just wanted us out of his hair. A. Garcia at the next gate was much more helpful and seemed like he actually cared. Will NEVER fly with this company again.",No,width: 20%,width: 60%,width: 20%,width: 60%,width: 60%
19,"August 16, 2017",1/10,Flew Economy,"This airline forgets that people pay a lot of money for their flights. I cannot speak about the  3 hour delay but I can certainly say that the way the delay was handled was very unprofessional and the attitude of the air stewards were disgusting. This airline makes MacDonalds look like a five star restaurant. If you have other options, do not fly with American. Even if you pay a little more, it will be worth it in the end.",No,width: 40%,width: 20%,width: 40%,width: 80%,width: 60%
20,"August 16, 2017",1/10,Flew Economy,"Flight 2657 to Orlando already delayed, again anothe flight that is not on time. I have taken 3 flights this month and two were delayed another one canceled. The service its terrible and in general Im personally starting to hate to flight with this airline.",No,width: 20%,width: 60%,width: 40%,width: 20%,width: 20%
21,"August 16, 2017",2/10,Flew Economy,"Terrible customer service. We asked an employee before getting in the check-in line if the airline allowed passengers to transfer flights to an earlier time. We didn’t have any check luggage, so we didn’t want to waste time in line if it wasn’t possible. The employee assured us that wouldn’t be a problem without any further information. Then we waited for an hour in line at check-in and when we reached the front we received a hostile attitude from the employee. We asked if there was any availability to standby and she looked at us as if we were insane. Not to mention a ridiculous surcharge to go on STANDBY for an earlier flight. $75 just to put your name on a list for the same flight, but earlier unless you’re a “gold member”. I don’t know of anyone who would use this awful airline enough to achieve that status. Generally unhelpful and, at times, condescending staff with unreasonable policies.",No,width: 20%,width: 60%,width: 20%,width: 20%,width: 20%
22,"August 16, 2017",1/10,Flew Premium Economy,Just horrible.,No,width: 20%,width: 0%,width: 20%,width: 0%,width: 0%
23,"August 16, 2017",1/10,Flew Economy,"I recently traveled on American Airlines and it was yet another let down with the airline. I booked a direct flight in feb 2017 they changed my flight to the complete opposite times in April 2017 cutting into my trip two whole days. I didn’t realize my flight was changed until a week before the trip.  While connecting in Arizona (terrible customer service in Arizona also, manager Stephanie was very rude and defensive because she shit the gate early) they shut the gate early at least by 10mins and my family and I sat and watched the plane for an additional 25 min before it took off. At that point they no longer had any flights to LAX that we would make as we were told all the flights going to LAX were “oversold”, and we would be put on a standby list that we most likely wouldn’t make the flights that day. We had to fly to a nearby airport where we had to uber to our bags at LAX. We wasted a whole day of travel bc American Airlines didn’t give us what we paid for, which was a direct flight! And then dealing with customer service is an even bigger waste of time. Don’t waste your time with this airline.",No,width: 20%,width: 60%,width: 20%,width: 20%,width: 40%
24,"August 16, 2017",1/10,Flew Economy,Worst experience ever flying for 45 years.,No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
25,"August 16, 2017",1/10,Flew Economy,"I am so upset that me and my husband had a 5 hour delay, due to no crew. We then had to wait an hour for our bags to come off the plane. I will never fly with this airline again. Thanks for the poor customer service and damaging my bag.",No,width: 20%,width: 20%,width: 20%,width: 60%,width: 20%
26,"August 16, 2017",1/10,Flew Premium Economy,"We will never fly American Airlines ever again.  Our flight was delayed 4 times, delayed luggage and stolen items out of our luggage.  The worst thing about our experience is that we were lied to numerous of times because American Airlines ticket agents and customer service reps did not want to deal with the problems relating to our flight.  On top of that, the customer service center that you contact does not care as well.  I wrote the CEO, President and EVP/Customer Relations of our horrible experience and they could not even respond, none of them.    They ruined our perfectly planned vacation before and after.",No,width: 20%,width: 80%,width: 20%,width: 80%,width: 0%
27,"August 16, 2017",1/10,Flew Economy,Almost as bad as Dynamic airline….. made us miss cinnecting flight then booked us for new only to delay…. had to fight with attendent to have my 2yr old daughter placed with one parent…. asked for upgrade second to huge inconvience only to be turned down…. i then saw all flifgt attendebts that were supposed to sit economy get upgraded….. not cool for those who paid for seats… flight was on aug 1 2017,No,width: 20%,width: 20%,width: 20%,width: 60%,width: 20%
28,"August 16, 2017",1/10,Flew Premium Economy,American Airlines is not a good service place they lie and treat the customers bad they have been in buisness for so long but they can’t fix their mistakes they are full of fake propaganda and they lie all the time my flight has been cancelled twice and all they can say is i have no information.  I work for the press I will make sure that all the pages our company runs will have a bad review about American Airlines.  You guys should stop lying to your customer it’s un ethical what you guys are doing to your customer. I hope that they boycott your company for you un ethical practices,No,width: 20%,width: 40%,width: 40%,width: 80%,width: 60%
29,"August 16, 2017",1/10,Flew Premium Economy,American Airlines is not a good service place they lie and treat the customers bad they have been in buisness for so long but they can’t fix their mistakes they are full of fake propaganda and they lie all the time my flight has been cancelled twice and all they can say is i have no information.  I work for the press I will make sure that all the pages our company runs will have a bad review about American Airlines.  You guys should stop lying to your customer it’s un ethical what you guys are doing to your customer. I hope that they boycott your company for you un ethical practices,No,width: 20%,width: 40%,width: 40%,width: 80%,width: 60%
30,"August 16, 2017",1/10,Flew Premium Economy,"American Airlines provided one of the worst flying experiences.  An American Airlines agent “was locked out of a computer system” and could not place one of my three children along with the rest of us… after being assured that this was already taken care of/done 8 days prior. Four people booked on roundtrips; oldest had ear infection and husband drove him up;  had to rebuy the return leg I already owned (????); and assured the child flying on the inbound seat would maintain his seat with us.  Never happened.  Call the night before – hapless agents said they were locked out and couldn’t make the seat change”but it could be fixed” by paying $20. Clicking on the “Check in” email locked you out? Really?  Pay you and you can miraculously fix a mistake you made? Absolutely the worst airlines, worst customer service, worse agents. Child was not ticketed with the family.  It should be called Unamerican or America should ask for its name back.",No,width: 20%,width: 20%,width: 20%,width: 20%,width: 60%
31,"July 26, 2017",1/10,Flew Economy,Canceled flight over megaphone problems after delaying it over an hour.,No,width: 20%,width: 20%,width: 60%,width: 40%,width: 60%
32,"July 26, 2017",1/10,Flew Economy,"The airline staff and managers are terrible!  I recently booked a flight for my son (14 years old) from Orlando to LAX (jet blue) and had absolutely NO problems.  His flight home was on American Airlines and it was a disaster.  When booked his flight I was not told of the $160 “unaccompanied minor” charge I was going to incur when I checked him in.  The airline staff was rude and pretty much said “that’s their policy!”  Fine if it a policy, it should have notified me when I booked it.  I would have booked a different airline where he flies solo at no charge.  I waited over 30 minutes to have a supervisor be even more rude and pretty much was told pay up or get a refund.  Terrible customer service and we will not return to this airline.",No,width: 20%,width: 0%,width: 20%,width: 0%,width: 0%
33,"July 25, 2017",1/10,Flew Economy,"Worst ever i will not fly on america airline again l leave jamaica on july 23,2017 at 12:30pm i did not get home untile july 24,2017 at 10  i was book 3times then flight cancel hungry sleep wasnt offer anything by anyone that works there they all was rude with attitude never again",No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
34,"July 25, 2017",1/10,Flew Economy,"American Airline extorts passengers by blocking off all available seats during check in, and then request that passengers pay extra for the same seats they have already paid for. They don’t take into consideration that passengers are flying with loved ones. they don’t make any attempt to sit family members together, which is one of the reasons passengers purchase tickets together as family.  I have experienced this more than once with American Airlines.",No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
35,"July 24, 2017",1/10,Flew Economy,Worst airline…lost our luggage 2 years ago.. almost caused my sister to miss her daughter’s wedding last week ( then lost her bag). Now my husband is stuck in an airport in Dallas not sure when he can come home because they can’t get their act together…,No,width: 20%,width: 0%,width: 20%,width: 0%,width: 0%
36,"July 24, 2017",1/10,Flew Economy,"I will NEVER fly with American Airlines again. I had to book a roundway trip that included 5 flights. On the way out to my destination, 2 of my 3 flights were delayed. On my way back, my first flight was delayed to the point of making me miss my connecting flight. I was put on the next flight out only for it to be cancelled. I was put on standby for the next flight out, but, given AA’s lack of follow through, I’m fully expecting that flight to be cancelled/delayed further. I wish there was a way to score a negative rating for this horrible airline.",No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
37,"July 24, 2017",1/10,Flew Economy,The worst service I have ever had.  Unbelievable that they run their airlines the way they do. the staff is very unprofessional.,No,width: 20%,width: 80%,width: 20%,width: 0%,width: 0%
38,"July 24, 2017",1/10,Flew Economy,Worst experience of my life! Rude workers! Never will I fly with them again! South west airlines was sooo much better!!,No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
39,"July 24, 2017",1/10,Flew Economy,"It’s absurd that the flight time has been changed already two times, we will make it to Mexico City very late… AA  257 is having more and more delays lately, it is something the Managers would like to check!!!!",Yes,width: 20%,width: 60%,width: 40%,width: 0%,width: 0%
40,"July 23, 2017",2/10,Flew Economy,"I have flown with American four times this week, and every time something has gone wrong. I have been given faulty information about my flight gates and times and nearly missed my flight, and been given wildly inaccurate time estimates which have caused all manner of problems.",No,width: 60%,width: 60%,width: 80%,width: 0%,width: 60%
41,"July 23, 2017",1/10,Flew Economy,We flew from San Juan to Indy with a layover in Philadelphia.  We checked 1 bag and they lost it.   We’ve called all 3 airports as well as the airline and submitted a claim to no avail.  The last scan was at the ticket counter in San Juan and when we spoke to them they said that the bag is not there.  I will never check a bag again and will definitely second guess using American airlines again.,No,width: 20%,width: 60%,width: 60%,width: 0%,width: 60%
42,"July 22, 2017",1/10,Flew Economy,"Got to the airport and realized that my Chinese husband and his parents needed to complete the EVUS registration before being able to get on their flight to the US. We had not heard of this before getting to the counter to check-in. Unfortunately, filling all that information out for 3 people, took almost 2 hours, and we were told we would miss our flight because check-in would end in a few minutes. So, we needed to get the next flight. I said, okay, “let’s see what the next flight situation is.” Fortunately, things looked good to get on the next flight, but only for my family members who were Chinese. I was a US citizen, so I could not be put on the next flight. If I missed the scheduled flight, it would be my fault because I didn’t have a visa issue like my in-laws. Are you serious? I am helping them fill-out all that information, which needs to be completed in Chinese and English, and I’m just supposed to leave them to it? Do not fly American if you are not a US citizen or have non-US citizens in your family. I was forced to leave my family and all my stuff to catch my scheduled flight. It was the most distressing travel experience I have ever had. AA is not family oriented.",No,width: 60%,width: 60%,width: 40%,width: 60%,width: 20%
43,"July 22, 2017",1/10,Flew Economy,Worst airlines that I’ve been a platinum elite with.  I’ve been a platinum elite with several airlines and the customer service with American is the worst by far,No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
44,"July 22, 2017",1/10,Flew Business,"I am not very happy with American Airlines. I have traveled with multiple other airlines before and never lost any luggage, ever. But today on the way from Phoenix, Arizona to Philadelphia, Pennsylvania and then our last flight from Philidelphia to Buffalo, New York, we lost not one, not two, not even three, but four bags of luggage.  We are traveling in a group of seven and only five of us brought suitcases. Four out of five bags of luggage lost from our group, also, other people on our flight lodt thiers as well. After i get back to Arizona I will NOT be travelimg with American Airlines again.",No,width: 60%,width: 80%,width: 100%,width: 60%,width: 80%
45,"July 22, 2017",1/10,Flew Economy,Never again..i was coming from montreal to chicago but i had to stop over at laguarda. The 2h delay flight from montreal made miss my second flight. I had to stay at the airport from 9pm to 7am with no compensation. This airlines is really rubbish.,No,width: 20%,width: 20%,width: 40%,width: 0%,width: 0%
46,"July 22, 2017",1/10,Flew Economy,The whole experience with with American airlines was horrible the flight the people the air craft and then after the trip I called to complain and explain to them and with me being disabled they blammed the experience on me and did nothing to fix it..I WILL NEVER FLY ON THIS EVER AGAIN,No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
47,"July 21, 2017",1/10,Flew Economy,"My  flight was from Maui to DFW airport. When boarding the plane there was no tv, no phone updated phone charger amp, and the movie that was playing was older than my great grandmother. A war movie I had my daughter with me and she was board out of her mind. I could understand using this plane on shorter flights but not for a flight that’s going to last 7 hrs..the flight to Maui was great meet ever need. Very disappointed on the way back…",No,width: 60%,width: 20%,width: 60%,width: 20%,width: 20%
48,"July 21, 2017",1/10,Flew Economy,Terrible service,No,width: 20%,width: 20%,width: 20%,width: 20%,width: 20%
49,"July 19, 2017",1/10,Flew Economy,This is by far the worst airline i have ever seen. Fligh was to leave birmingham al at 1:32 pm on 7/18/2017 did not leave until 4:15. Got to dallas tx at 6:30 to catch a connecting flight to las vegas at 9:40 was delayed twice now not leavinging till after midnight. This is the most poorly ran company ive ever seen. Well never fly with this bunch of losers again!!!!,No,width: 20%,width: 60%,width: 40%,width: 0%,width: 40%
50,"July 19, 2017",1/10,Flew Economy,This is by far the worst airline i have ever seen. Fligh was to leave birmingham al at 1:32 pm on 7/18/2017 did not leave until 4:15. Got to dallas tx at 6:30 to catch a connecting flight to las vegas at 9:40 was delayed twice now not leavinging till after midnight. This is the most poorly ran company ive ever seen. Well never fly with this bunch of losers again!!!!,No,width: 20%,width: 60%,width: 40%,width: 0%,width: 40%
51,"July 18, 2017",3/10,Flew Economy,"The plane was great but the on-board staff was careless. They never considered us when we talk to them or ask us questions, they even avoid us sometimes. When they came with the meal tray they bumped in our seat each time ! Not a smile, not a verification if we were pleased.",No,width: 40%,width: 80%,width: 20%,width: 80%,width: 80%
52,"July 15, 2017",1/10,Flew Economy,"
Never have I seen so low customer consideration even in low-cost airlines !",No,width: 40%,width: 40%,width: 80%,width: 0%,width: 0%
53,"July 15, 2017",10/10,Flew Economy,"
Furthermore, when we registered we were split in the airplane and could not be moved afterwards, even though we checked in at the very beginning.",Yes,width: 60%,width: 80%,width: 80%,width: 80%,width: 80%
54,"July 15, 2017",1/10,Flew Premium Economy,Lost my luggage because their flights from Detroit to D.C. use smaller planes. To save weight they send some of the bags later on another flight. They don’t tell you they’re doing this so I missed a day of my conference because I didn’t have any clothes. This airline is garbage.,No,width: 80%,width: 80%,width: 20%,width: 0%,width: 80%
55,"July 14, 2017",1/10,Flew Economy,"Horrible experience on July 6th American flight 791 from Punta Cana to Philadelphia. The flight attendants were not pleasant and very rude. After take off, custom forms were handed out. My husband asked for a pen and, Patricia, the coach flight attendant was very aggressive in her response, stating that she “hasn’t had a pen since 1992” telling us to “get one from our neighbor”. Multiple times during the flight both Patricia and the first class flight attendant bumped my 67 year old father with no apology. Midway through the flight, the coach restroom line was backed up. Both my husband and myself attempted to use the first class restroom and were reprimanded and told to use the one in coach. On my way back to my seat I squeezed by the flight attendants in the aisle. I turned around to a finger in my face, with Patricia raising her voice stating “that was not appreciated!”. She was under the impression that I had nudged her or brushed up against her on purpose. My family and I were very uncomfortable during this flight and overall did not feel safe. We do not recommend American Airlines.",No,width: 20%,width: 60%,width: 20%,width: 0%,width: 20%
56,"July 13, 2017",1/10,Flew Economy,About the  aa advantage program. We had miles from our AA credit card and we went to use them and they were all gone. Called and was told that we did not use the card so we lost the miles. They said they can’t do anything and in other words we were out of luck. Horrible customer service I will never use American Airlines again.,No,width: 60%,width: 60%,width: 80%,width: 60%,width: 60%
57,"July 11, 2017",1/10,Flew Economy,Endless delays with this airline. Never had an issue ever flying but the one time we tried something else nothing but issues. We were suppose to be home on Sunday it’s now Monday night still sitting at an airport.,No,width: 20%,width: 40%,width: 60%,width: 20%,width: 20%
58,"July 10, 2017",4/10,Flew Premium Economy,"You pay for everything and the service is really bad, rude, far below that of other airlines (i.e. Southwest).  In the past I flew on American on a regular basis and the service was good and the seats were comfortable.  WHAT HAPPENED?",No,width: 40%,width: 40%,width: 20%,width: 60%,width: 40%
59,"July 10, 2017",1/10,Flew Economy,My flight from La Crosse to Chicago was delayed 50 minutes. Due to the delay I missed my flight from Chicago to Little Rock. I got my flight rescheduled for the next morning. I wasn’t given a hotel to stay in and I wasn’t given any money/ cash for food. I spent the night in Chicago and waited until the next morning for the next flight out. Two hours before I was suppose to board my flight it was cancelled. They made me fly to Dallas where I waited two hours on a standby flight to Little Rock. I looked online and there were 3 open/ available first class seats that were not going to be occupied. I went up too the check in desk and asked if I could sit in the first class seats but not have the service. I was told that I could absolutely not sit there and I would have to wait. I’m now waiting in Dallas for a flight to Little Rock. What should of taken 4 hours to fly is taking me 1 full day. I will never fly with American Airlines again. I should of spent $50 more for a different airline to take me.  I won’t waste my time and money and this airline ever again.,No,width: 40%,width: 40%,width: 40%,width: 20%,width: 20%
60,"July 9, 2017",9/10,Flew First,"I was on a flight from lex to DFW on 7/9. Due to seating issues, my wife and I were not seated together. But at the last minute before take off, the thoughtful gate agent, re arranged seats and also upgraded me to first class. My wife and I flew together.  The cabin crew was super helpful, polite and courteous. Carmel was one of the best. The captain was also very courteous. Great job by aa and crew.",Yes,width: 100%,width: 100%,width: 100%,width: 100%,width: 80%
61,"July 8, 2017",1/10,Flew Premium Economy,"On average, the AA flights I have taken arrive in Charlotte with less than 30 minutes prior to connecting flight take off AND the arriving flight gate and the departing flight gate are on opposite sides of the airport AND they require me to check carry on that conforms to the carry on size limits. This has led to several missed connections. The last flight where this happened, my return to destination was critical and I could not wait until the next day flight, no rentals available in all of CLT, I took a car service. AA refuses to reimburse. In addition, the AA customer service rep in the airport (CLT) was downright rude.",No,width: 20%,width: 60%,width: 20%,width: 20%,width: 20%
62,"July 6, 2017",2/10,Flew Business,We were going to cancun . We left after loading ant sat on the runway for over an hour then finaly got to dallas . To be notified we had missed our flight. ….,No,width: 20%,width: 60%,width: 40%,width: 0%,width: 40%
63,"July 4, 2017",10/10,Flew Economy,"
Overall terrible experience with American  Airlines. We will never use them again…",Yes,width: 100%,width: 100%,width: 100%,width: 100%,width: 80%
64,"June 27, 2017",10/10,Flew Economy,"First time flying and oh, what an experience! The first of our connecting flights was on a smaller plane but the flight attendants made us feel right at home.",Yes,width: 100%,width: 100%,width: 100%,width: 100%,width: 100%
65,"June 23, 2017",10/10,Flew Economy,"In fact I booked this flight to my parents, and they missed their flight. The travel agency officer gave them connected fly and they were almost lost in Charlottesville airport because they didn’t know it’s connected. We just keep calling and asking for help. Those AMerican airlines which were in duty did a great job. help us to find them and send them to the Dullas airport for us. Thank you AA and Charlottes airport for taking care of those costumer who are new to this country and don’t the language.",Yes,width: 100%,width: 80%,width: 100%,width: 100%,width: 100%
